requirement_id,requirement,priority,implementation_status,current_gate_status,evidence_path,root_cause_or_evidence,planned_action,final_status,final_evidence
GAP-001,"Frontend dependency-aware typecheck, Vitest and Vite build",P0,EXTERNAL_GATE,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,Corepack DNS failure; pnpm 10.15.1 and node_modules unavailable,"Restore npm registry access; run corepack pnpm install --frozen-lockfile, then typecheck/test/build.",BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-002,Browser Playwright closed loop for 2.2 pages,P0,EXTERNAL_GATE,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,Current frontend dependencies unavailable,Run Playwright against current API/Web build.,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-003,"Docker cold start, restart, down-up and restore persistence",P0,IMPLEMENTED_OR_HARNESS_READY,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,docker executable absent; BLOCKED JSON receipt generated,Run scripts/verify_docker_persistence.py on a Docker-capable host.,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-004,Official MCP SDK stdio integration,P0,EXTERNAL_GATE,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,mcp module unavailable; frozen sync blocked by DNS,Install locked dependencies and run scripts/verify_mcp_stdio.py.,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-005,"Live OpenAlex, Crossref, arXiv and Semantic Scholar smoke",P0,EXTERNAL_GATE,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,Current live smoke returned DNS ConnectError for all four sources,Rerun with network and lawful keys where applicable.,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-006,"Licensed Web of Science, Elsevier and Scopus adapters",P1,OUT_OF_SCOPE,SKIPPED,codex_audit/runs/20260827T191732Z_RN220_FINAL,No lawful credentials or contract scope,Implement only after authorized access is supplied.,SKIPPED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-007,Real expert outcome validation,P1,IMPLEMENTED_OR_HARNESS_READY,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,Blind-study infrastructure exists; no external expert ratings,"Run a frozen, blinded real-expert study; do not simulate.",BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-008,Sentence and field citation attribution,P1,IMPLEMENTED,PASS,codex_audit/runs/20260827T191732Z_RN220_FINAL,Security/RAG and analysis tests in current backend suite,Do not describe citation alignment as entailment proof.,PASS,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-009,Frozen uv dependency sync,P0,EXTERNAL_GATE,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL,uv lock check PASS; uv sync failed DNS fetching locked httpx2,Restore package registry access and rerun uv sync --frozen --extra dev.,BLOCKED,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
GAP-010,LLM provider analysis API and audit persistence,P1,IMPLEMENTED,PASS,codex_audit/runs/20260827T191732Z_RN220_FINAL,Provider merge/fallback/citation/audit tests in focused 42-test matrix,Validate a live provider separately with lawful credentials.,PASS,codex_audit/runs/20260827T191732Z_RN220_FINAL/GAP_LEDGER.csv
